lga_code,lga_name,longitude,latitude,pop_65_plus,percent_65_plus
31820,Bundaberg,152.035783,-24.967804,28324,26.7
31900,Burdekin,147.243106,-19.823584,4253,24.7
31950,Burke,138.940112,-18.019326,70,15.8
32080,Cairns,145.818528,-17.160638,29007,16.3
32250,Carpentaria,141.364758,-17.444399,281,12.6
32260,Cassowary Coast,145.894248,-17.919401,7408,24.4
32270,Central Highlands (Qld),148.42073,-24.031867,3159,10.8
32310,Charters Towers,145.788212,-20.148852,2676,22.2
32330,Cherbourg,151.935961,-26.288767,109,8.5
32450,Cloncurry,140.264768,-20.817703,440,11.3
32500,Cook,143.25887,-14.236125,905,18.8
32600,Croydon,142.216798,-18.554079,37,13.7
32750,Diamantina,139.731994,-24.630244,42,15.5
32770,Doomadgee,138.743788,-17.710156,84,5.7
32810,Douglas,145.286625,-16.221994,2793,21.4
33100,Etheridge,143.660417,-18.504611,183,25.2
33200,Flinders (Qld),144.321738,-20.973868,314,20.2
33220,Fraser Coast,152.531619,-25.610276,37286,30.9
33360,Gladstone,151.315525,-24.210666,10359,15.2
33430,Gold Coast,153.315738,-27.984881,120431,17.7
33610,Goondiwindi,150.339892,-28.37367,2147,20.5
33620,Gympie,152.463537,-26.147079,14986,26.1
33800,Hinchinbrook,146.044906,-18.662247,3317,29.7
33830,Hope Vale,145.191459,-15.169426,85,8.1
33960,Ipswich,152.667487,-27.665601,29862,11.5
33980,Isaac,147.889541,-22.238645,1783,7.7
34420,Kowanyama,141.810566,-15.319532,79,6.9
34530,Livingstone,150.192315,-22.807951,9169,21.4
34570,Lockhart River,143.239927,-13.00596,65,9.4
34580,Lockyer Valley,152.240556,-27.642706,7851,17.4
34590,Logan,153.040194,-27.762385,51140,13.0
34710,Longreach,143.959326,-23.718128,668,17.8
34770,Mackay,148.797559,-21.144073,20772,16.2
34800,McKinlay,141.586965,-20.533983,116,13.6
34830,Mapoon,141.844584,-12.117068,57,11.8
34860,Maranoa,148.287697,-26.544265,2267,17.0
34880,Mareeba,143.95519,-16.984723,5159,21.5
35010,Moreton Bay,152.86856,-27.123764,93852,18.0
35250,Mornington,139.395901,-16.556107,88,8.1
35300,Mount Isa,138.782229,-19.953902,1598,8.5
35600,Murweh,146.48948,-26.189673,844,21.1
35670,Napranum,142.236143,-12.54231,78,8.3
35740,Noosa,152.945595,-26.324828,16898,28.5
35760,North Burnett,151.204177,-25.355277,2898,27.6
35780,Northern Peninsula Area,142.301732,-11.015885,181,6.2
35790,Palm Island,146.618596,-18.738394,160,7.0
35800,Paroo,145.771321,-28.072943,359,20.8
36070,Pormpuraaw,141.807418,-14.719425,60,9.3
36150,Quilpie,143.893436,-26.348817,125,17.6
36250,Redland,153.454368,-27.546389,37019,21.7
36300,Richmond,142.901064,-20.54064,121,15.4
36370,Rockhampton,150.218418,-23.441129,14590,17.1
36510,Scenic Rim,152.796219,-28.062317,10897,23.7
36580,Somerset,152.425231,-27.008938,5968,22.5
36630,South Burnett,151.648021,-26.404774,9512,27.4
36660,Southern Downs,151.885799,-28.405436,10371,27.4
36720,Sunshine Coast,152.894564,-26.692265,81682,21.8
36820,Tablelands,145.330534,-17.930786,7579,27.4
36910,Toowoomba,151.533886,-27.581985,36990,20.1
36950,Torres,142.537067,-10.900534,332,9.5
36960,Torres Strait Island,142.265209,-10.182476,377,8.8
37010,Townsville,146.710042,-19.394575,30519,14.9
37300,Weipa,141.87407,-12.634542,171,4.0
37310,Western Downs,150.347658,-26.84176,6370,18.1
37340,Whitsunday,147.71254,-20.706093,6991,17.2
37400,Winton,142.424503,-22.539132,260,22.8
37550,Woorabinda,149.446166,-24.135923,65,5.9
37570,Wujal Wujal,145.313142,-15.968294,28,9.3
37600,Yarrabah,145.89717,-16.994556,186,7.0
40070,Adelaide,138.598926,-34.921989,4358,15.0
40120,Adelaide Hills,138.836244,-34.892794,8895,21.0
40150,Adelaide Plains,138.454691,-34.4806,1629,14.4
40220,Alexandrina,138.87836,-35.351912,10458,33.9
40250,Anangu Pitjantjatjara Yankunytjatjara,131.172855,-27.080117,123,4.6
40310,Barossa,139.001685,-34.621044,6321,23.8
40430,Barunga West,137.956328,-33.798932,926,34.7
40520,Berri Barmera,140.488924,-34.265836,2710,25.2
40700,Burnside,138.65989,-34.939956,11172,23.4
40910,Campbelltown (SA),138.682248,-34.883727,11499,19.8
41010,Ceduna,133.87242,-32.102109,745,19.9
41060,Charles Sturt,138.523621,-34.890356,25514,19.7
41140,Clare and Gilbert Valleys,138.735987,-34.003961,2508,26.6
41190,Cleve,136.284759,-33.650294,446,25.4
41330,Coober Pedy,134.75236,-29.015826,468,30.7
41560,Copper Coast,137.729034,-33.983365,5541,34.0
41750,Elliston,135.350511,-33.560383,224,21.3
41830,Flinders Ranges,138.301206,-32.075608,537,32.1
41960,Franklin Harbour,136.964429,-33.534286,423,31.1
42030,Gawler,138.729902,-34.62212,5804,21.4
